name,action-time-start,action-time-end,action-total-seconds,cycle
check-workers,1713194846.3503053,1713194846.4824061,0.1321,2
update-pipeline,1713194846.354011,1713194846.5009763,0.14697,2
server-monitoring,1713194846.353515,1713194846.7422185,0.3887,2
check-workers,1713194851.3504627,1713194851.4733036,0.12284,2
server-monitoring,1713194851.353874,1713194851.6399968,0.28612,2
data-pipeline,1713194856.3556864,1713194856.4501283,0.09444,2
aggregation-pipeline,1713194856.3557918,1713194856.566901,0.21111,2
check-workers,1713194856.3502774,1713194856.5473182,0.19704,2
server-monitoring,1713194856.3537645,1713194856.8290682,0.4753,2
system-monitoring,1713194856.35457,1713194856.9859421,0.63137,2
check-workers,1713194861.3503563,1713194861.4751613,0.1248,2
server-monitoring,1713194861.354967,1713194861.6234658,0.2685,2
check-workers,1713194866.3501694,1713194866.4522035,0.10203,2
system-monitoring,1713194866.3524823,1713194866.5637012,0.21122,2
server-monitoring,1713194866.3521771,1713194866.5976236,0.24545,2
check-workers,1713194871.3500917,1713194871.4507434,0.10065,2
server-monitoring,1713194871.3518624,1713194871.554208,0.20235,2
check-workers,1713194876.3500252,1713194876.3812895,0.03126,2
system-monitoring,1713194876.351782,1713194876.5078704,0.15609,2
server-monitoring,1713194876.3516388,1713194876.5645723,0.21293,2
check-workers,1713194881.350293,1713194881.4551103,0.10482,2
server-monitoring,1713194881.35299,1713194881.5513635,0.19837,2
check-workers,1713194886.3502464,1713194886.4602642,0.11002,2
model-pipeline,1713194886.3539975,1713194886.483459,0.12946,2
update-pipeline,1713194886.354242,1713194886.5749803,0.22074,2
server-monitoring,1713194886.353259,1713194886.8073037,0.45404,2
data-pipeline,1713194886.353672,1713194886.603608,0.24994,2
system-monitoring,1713194886.3534548,1713194886.8866475,0.53319,2
check-workers,1713194891.350061,1713194891.4502933,0.10023,2
server-monitoring,1713194891.3516219,1713194891.5429838,0.19136,2
check-workers,1713194896.3504167,1713194896.4693358,0.11892,2
system-monitoring,1713194896.3539746,1713194896.56543,0.21146,2
server-monitoring,1713194896.3532624,1713194896.7683175,0.41506,2
check-workers,1713194901.3502302,1713194901.4584272,0.1082,2
server-monitoring,1713194901.3526227,1713194901.5655184,0.2129,2
check-workers,1713194906.3505242,1713194906.4591548,0.10863,2
system-monitoring,1713194906.3533397,1713194906.6300807,0.27674,2
server-monitoring,1713194906.3528728,1713194906.6797507,0.32688,2
aggregation-pipeline,1713194906.3536565,1713194906.7884989,0.43484,2
check-workers,1713194911.3502018,1713194911.4533176,0.10312,2
server-monitoring,1713194911.3538492,1713194911.5619483,0.2081,2
data-pipeline,1713194916.3536875,1713194916.478492,0.1248,2
check-workers,1713194916.3504071,1713194916.465542,0.11513,2
system-monitoring,1713194916.3530965,1713194916.5631938,0.2101,2
server-monitoring,1713194916.3527768,1713194916.6695817,0.3168,2
check-workers,1713194921.350267,1713194921.4503398,0.10007,2
server-monitoring,1713194921.3525534,1713194921.574421,0.22187,2
check-workers,1713194926.3505251,1713194926.450888,0.10036,2
system-monitoring,1713194926.353539,1713194926.5749006,0.22136,2
update-pipeline,1713194926.3538976,1713194926.50307,0.14917,2
server-monitoring,1713194926.3532546,1713194926.653771,0.30052,2
check-workers,1713194931.350537,1713194931.4604375,0.1099,2
server-monitoring,1713194931.3527749,1713194931.573387,0.22061,2
check-workers,1713194936.3501887,1713194936.4515283,0.10134,2
system-monitoring,1713194936.3527994,1713194936.5663786,0.21358,2
